ball, box
0, 19
0, 19
0, 17
0, 17
0, 17
0, 19
0, 18
0, 17
0, 16
0, 18
0, 17
0, 17
0, 16
0, 14
0, 15
0, 17
0, 17
0, 16
0, 19
0, 17
0, 17
0, 18
0, 19
0, 17
0, 14
0, 16
0, 16
0, 16
0, 17
0, 17
0, 18
0, 18
0, 17
0, 15
0, 14
0, 14
0, 15
0, 15
0, 13
0, 14
0, 14
0, 15
0, 14
0, 16
0, 17
0, 16
0, 16
0, 15
0, 16
0, 16
0, 16
0, 15
0, 15
0, 16
0, 16
0, 16
0, 18
0, 17
0, 17
0, 14
0, 15
0, 15
0, 16
0, 18
0, 16
0, 16
0, 16
0, 16
0, 17
0, 17
22, 19
18, 15
18, 15
18, 15
19, 16
19, 16
19, 16
17, 14
17, 15
18, 15
17, 14
15, 13
17, 15
18, 15
18, 15
18, 15
19, 15
19, 15
16, 14
17, 14
21, 17
18, 14
16, 13
18, 14
17, 13
17, 13
17, 14
15, 12
17, 14
16, 13
17, 14
16, 13
17, 13
17, 14
17, 14
17, 14
0, 16
16, 13
16, 13
17, 14
18, 15
18, 15
16, 13
17, 14
0, 15
0, 15
0, 16
17, 14
15, 12
16, 13
15, 12
16, 13
16, 13
17, 14
14, 11
16, 13
0, 15
15, 12
16, 13
16, 13
15, 12
16, 13
0, 14
14, 11
15, 11
15, 12
15, 12
17, 13
16, 13
15, 12
15, 12
15, 12
15, 12
15, 11
15, 12
18, 15
16, 12
16, 13
17, 14
16, 12
16, 13
15, 11
15, 12
17, 14
16, 12
16, 13
16, 12
14, 11
16, 12
15, 12
16, 13
17, 13
16, 12
16, 13
16, 13
18, 14
16, 12
0, 13
0, 14
16, 13
0, 12
0, 14
17, 14
17, 14
16, 13
0, 15
16, 13
17, 14
18, 15
0, 14
17, 14
17, 14
17, 14
16, 13
18, 15
18, 14
17, 14
18, 14
18, 14
16, 12
17, 13
18, 14
17, 14
18, 14
20, 16
20, 16
17, 14
18, 14
17, 13
18, 14
17, 13
18, 14
17, 13
17, 13
18, 14
18, 14
19, 15
18, 15
18, 15
19, 15
19, 15
17, 15
17, 15
17, 14
17, 14
18, 15
17, 14
18, 15
18, 15
16, 14
18, 15
18, 15
19, 16
18, 15
18, 15
22, 19
19, 16
18, 15
18, 15
22, 19
18, 15
21, 18
18, 15
